grid,color1_h,color1_s,color1_v,color2_h,color2_s,color2_v,color3_h,color3_s,color3_v,color4_h,color4_s,color4_v,repeated_colour
"Grid(1, 9)",15,32,13,17,34,16,18,35,17,16,33,14,Lawn Green
"Grid(1, 10)",25,43,21,24,48,22,23,47,21,24,42,20,Lawn Green
"Grid(1, 11)",14,31,12,15,32,13,14,31,13,18,37,15,Lawn Green
"Grid(1, 12)",16,33,14,17,34,15,15,32,14,14,31,13,Lawn Green
"Grid(1, 13)",15,32,13,16,33,14,12,29,11,15,34,14,Lawn Green
"Grid(1, 14)",23,42,22,16,35,15,18,37,17,15,34,14,Lawn Green
"Grid(1, 15)",17,36,16,16,35,15,23,42,20,15,32,14,Lawn Green
"Grid(1, 16)",15,37,14,16,38,15,18,40,17,17,34,15,Lawn Green
"Grid(1, 17)",16,35,15,17,36,16,17,36,14,14,35,16,Lawn Green
"Grid(1, 18)",16,35,15,18,37,15,15,34,14,18,40,17,Lawn Green
"Grid(1, 20)",62,48,35,61,47,34,58,46,32,41,42,28,Red
"Grid(1, 22)",16,35,15,17,36,16,15,34,14,18,37,17,Lawn Green
"Grid(1, 23)",21,36,17,22,37,18,18,35,16,20,35,16,Lawn Green
"Grid(1, 25)",46,37,22,53,40,24,40,33,17,47,52,30,Red
"Grid(1, 27)",17,34,15,15,34,14,16,33,14,16,35,15,Lawn Green
"Grid(1, 29)",10,22,10,11,23,11,13,25,13,12,24,12,Bright Green
"Grid(1, 31)",15,29,12,12,29,13,28,51,25,14,33,13,Lawn Green
"Grid(1, 32)",12,29,11,13,30,12,11,28,10,14,31,13,Lawn Green
"Grid(1, 33)",13,27,10,14,28,11,11,25,8,12,26,9,Lawn Green
"Grid(1, 34)",13,32,12,14,30,17,11,28,10,12,29,11,Lawn Green
"Grid(1, 35)",14,28,13,13,27,12,12,26,11,14,26,12,Lawn Green
"Grid(1, 36)",12,33,14,13,34,15,17,36,17,14,35,16,Bright Green
"Grid(1, 37)",12,26,11,12,26,13,14,28,15,11,25,12,Bright Green
"Grid(1, 38)",11,28,10,24,43,21,14,28,11,13,27,12,Lawn Green
"Grid(1, 39)",22,44,21,12,29,11,21,45,21,15,29,12,Lawn Green
"Grid(1, 40)",21,39,15,24,42,18,18,36,14,19,37,13,Lawn Green
"Grid(1, 41)",19,38,16,14,31,13,17,34,15,16,33,14,Lawn Green
"Grid(1, 42)",13,25,13,12,24,12,14,26,14,16,30,15,Bright Green
"Grid(1, 43)",13,30,12,14,31,13,19,38,19,12,25,8,Lawn Green
"Grid(1, 44)",11,28,10,10,29,10,12,29,11,10,27,8,Lawn Green
"Grid(1, 45)",8,20,8,14,32,16,15,33,17,8,22,9,Bright Green
"Grid(1, 47)",12,26,13,13,23,15,12,22,13,15,26,12,Bright Green
"Grid(1, 48)",13,27,12,14,31,13,13,32,12,15,25,16,Lawn Green
"Grid(1, 49)",13,28,9,16,31,12,17,32,13,12,26,11,Lawn Green
"Grid(2, 0)",16,32,19,16,30,17,15,31,18,15,29,16,Bright Green
"Grid(2, 1)",15,29,16,16,30,17,17,31,18,14,28,15,Bright Green
"Grid(2, 3)",19,48,18,20,49,19,21,45,19,21,43,20,Lawn Green
"Grid(2, 4)",17,36,16,18,37,17,16,35,15,19,38,18,Lawn Green
"Grid(2, 5)",18,40,17,16,38,15,17,39,16,16,35,15,Lawn Green
"Grid(2, 6)",13,27,12,14,28,13,12,26,11,15,29,14,Lawn Green
"Grid(2, 7)",14,28,13,13,27,12,15,29,14,13,26,16,Lawn Green
"Grid(2, 8)",15,29,14,14,28,13,13,27,12,16,30,15,Lawn Green
"Grid(2, 9)",14,28,13,13,30,12,15,29,14,14,31,13,Lawn Green
"Grid(2, 10)",14,31,13,13,30,12,17,36,16,19,34,15,Lawn Green
"Grid(2, 11)",17,36,16,17,39,18,16,35,15,18,37,17,Lawn Green
"Grid(2, 13)",14,31,13,12,29,11,13,30,12,15,32,14,Lawn Green
"Grid(2, 14)",15,32,14,14,31,13,16,33,15,13,32,13,Lawn Green
"Grid(2, 15)",20,35,16,18,37,15,19,36,17,21,36,17,Lawn Green
"Grid(2, 16)",19,38,18,15,34,14,16,35,15,18,37,17,Lawn Green
"Grid(2, 17)",19,36,17,20,37,18,18,35,16,13,30,12,Lawn Green
"Grid(2, 18)",15,39,15,7,24,8,9,26,10,8,25,9,Bright Green
"Grid(2, 19)",14,31,13,13,30,12,13,32,13,15,34,14,Lawn Green
"Grid(2, 20)",15,29,12,16,29,12,13,30,12,14,28,11,Lawn Green
"Grid(2, 22)",38,39,23,35,38,21,37,38,22,36,39,22,Orange
"Grid(2, 23)",19,34,13,27,50,22,26,46,19,23,35,15,Lawn Green
"Grid(2, 24)",19,41,18,19,37,15,18,41,15,19,38,16,Lawn Green
"Grid(2, 26)",21,35,12,22,36,13,22,37,14,17,30,13,Lawn Green
"Grid(2, 27)",19,34,15,17,34,15,18,35,16,18,33,14,Lawn Green
"Grid(2, 28)",12,26,13,14,28,15,13,27,14,10,26,13,Bright Green
"Grid(2, 30)",9,28,8,16,30,13,12,29,10,10,29,9,Lawn Green
"Grid(2, 31)",20,46,19,16,35,15,21,47,20,22,48,21,Lawn Green
"Grid(2, 33)",19,41,18,21,43,20,19,38,19,20,42,19,Lawn Green
"Grid(2, 34)",24,47,21,26,51,22,17,35,13,25,51,22,Lawn Green
"Grid(2, 37)",14,33,14,13,32,13,7,25,9,6,24,8,Bright Green
"Grid(2, 38)",11,25,12,11,25,10,12,29,11,11,28,10,Lawn Green
"Grid(2, 40)",11,23,9,12,24,10,10,24,7,14,28,11,Lawn Green
"Grid(2, 41)",18,37,15,17,36,14,15,30,11,20,43,17,Lawn Green
"Grid(2, 42)",17,34,16,7,19,7,8,18,7,7,17,6,Lawn Green
"Grid(2, 43)",12,26,13,9,21,9,11,23,11,12,22,11,Bright Green
"Grid(2, 45)",14,31,12,12,26,9,18,37,18,14,28,11,Lawn Green
"Grid(2, 47)",8,21,11,9,23,10,6,19,9,8,22,9,Bright Green
"Grid(2, 48)",22,45,19,27,50,24,25,48,22,28,53,24,Lawn Green
"Grid(2, 49)",13,30,11,12,29,10,13,30,12,12,29,11,Lawn Green
"Grid(3, 0)",14,31,13,13,30,12,17,34,16,12,24,12,Lawn Green
"Grid(3, 1)",20,42,21,21,43,22,16,34,18,16,35,16,Bright Green
"Grid(3, 2)",19,43,19,18,42,18,19,45,20,20,46,21,Bright Green
"Grid(3, 3)",22,46,20,23,47,21,24,48,22,21,45,19,Lawn Green
"Grid(3, 4)",15,37,16,15,27,15,13,27,14,13,25,13,Bright Green
"Grid(3, 5)",16,40,18,15,40,18,16,38,17,15,39,17,Bright Green
"Grid(3, 6)",16,38,17,17,36,16,22,44,21,23,45,22,Lawn Green
"Grid(3, 7)",18,40,17,19,41,18,20,42,19,17,39,16,Lawn Green
"Grid(3, 8)",13,28,9,16,31,12,14,29,10,15,30,11,Lawn Green
"Grid(3, 9)",13,30,12,15,32,14,14,31,13,18,35,16,Lawn Green
"Grid(3, 10)",15,29,14,9,23,8,10,27,11,13,30,12,Lawn Green
"Grid(3, 11)",21,45,19,22,45,19,22,46,20,20,44,18,Lawn Green
"Grid(3, 12)",19,41,18,18,40,17,19,42,16,20,44,18,Lawn Green
"Grid(3, 13)",22,45,19,21,44,18,20,43,17,18,41,15,Lawn Green
"Grid(3, 14)",21,47,20,20,46,19,21,44,18,22,48,21,Lawn Green
"Grid(3, 15)",17,34,15,16,33,14,18,35,16,11,28,10,Lawn Green
"Grid(3, 16)",18,35,16,17,34,15,19,36,17,20,37,18,Lawn Green
"Grid(3, 17)",21,36,17,22,37,18,19,34,15,18,33,14,Lawn Green
"Grid(3, 18)",17,34,16,16,35,16,14,31,13,15,32,14,Lawn Green
"Grid(3, 19)",20,35,16,19,34,15,21,36,17,17,32,13,Lawn Green
"Grid(3, 20)",13,30,12,12,29,11,16,33,14,17,34,15,Lawn Green
"Grid(3, 21)",18,35,16,16,33,14,17,34,15,19,36,17,Lawn Green
"Grid(3, 22)",26,35,16,26,33,15,25,34,15,56,54,33,Inchworm
"Grid(3, 23)",28,48,21,25,48,20,30,48,22,26,51,21,Lawn Green
"Grid(3, 24)",14,33,11,15,33,11,16,35,15,17,36,16,Lawn Green
"Grid(3, 25)",19,33,16,14,31,13,17,35,13,18,36,12,Lawn Green
"Grid(3, 26)",15,29,12,16,30,13,13,27,10,19,34,13,Lawn Green
"Grid(3, 27)",18,41,15,16,35,13,18,36,14,20,35,14,Lawn Green
"Grid(3, 28)",37,27,17,36,27,18,37,29,18,44,36,25,Red
"Grid(3, 29)",14,27,10,14,28,11,19,41,18,44,36,25,Lawn Green
"Grid(3, 30)",11,30,10,19,38,18,16,35,15,14,33,13,Lawn Green
"Grid(3, 31)",24,48,22,23,47,21,22,48,21,21,47,20,Lawn Green
"Grid(3, 32)",13,30,12,11,25,8,12,29,11,13,27,10,Lawn Green
"Grid(3, 33)",20,39,19,17,36,16,19,38,18,14,33,13,Lawn Green
"Grid(3, 34)",13,32,12,21,43,20,15,34,14,12,31,11,Lawn Green
"Grid(3, 35)",24,47,21,29,52,24,28,51,23,25,48,22,Lawn Green
"Grid(3, 36)",9,28,9,6,17,11,7,26,7,10,29,10,Bright Green
"Grid(3, 37)",7,23,10,11,27,14,13,29,16,10,26,13,Bright Green
"Grid(3, 38)",9,23,10,13,27,14,11,25,12,12,26,11,Bright Green
"Grid(3, 39)",13,27,12,14,28,13,13,25,13,15,29,12,Lawn Green
"Grid(3, 40)",12,29,11,11,28,10,10,27,9,13,30,12,Lawn Green
"Grid(3, 41)",11,29,13,11,28,12,10,28,12,10,29,10,Bright Green
"Grid(3, 42)",5,22,6,10,27,11,4,14,3,4,18,5,Bright Green
"Grid(3, 43)",16,30,15,15,29,14,17,31,16,14,28,13,Lawn Green
"Grid(3, 44)",24,48,22,12,26,11,17,31,14,15,29,12,Lawn Green
"Grid(3, 45)",37,55,29,30,48,24,34,52,26,45,60,37,Lawn Green
"Grid(3, 46)",13,25,11,11,22,8,12,23,9,12,24,10,Lawn Green
"Grid(3, 47)",14,28,11,10,20,9,14,24,13,11,18,10,Lawn Green
"Grid(3, 48)",10,24,11,11,25,12,9,23,10,12,26,13,Bright Green
"Grid(3, 49)",24,42,20,23,41,19,13,30,12,25,43,21,Lawn Green
"Grid(4, 0)",16,33,15,13,30,12,17,34,16,20,44,18,Lawn Green
"Grid(4, 2)",15,27,15,13,27,14,15,32,14,14,31,15,Bright Green
"Grid(4, 4)",16,35,15,17,36,16,18,37,15,20,39,20,Lawn Green
"Grid(4, 5)",18,29,15,17,28,14,12,26,13,20,34,17,Lawn Green
"Grid(4, 7)",20,42,19,23,46,18,19,41,18,21,43,20,Lawn Green
"Grid(4, 8)",13,32,12,18,33,14,14,31,13,16,29,11,Lawn Green
"Grid(4, 9)",19,36,18,20,39,17,14,33,14,18,37,17,Lawn Green
"Grid(4, 10)",16,38,17,18,37,17,16,30,15,18,32,17,Lawn Green
"Grid(4, 11)",64,52,36,69,53,37,63,51,35,70,54,38,Red
"Grid(4, 12)",19,42,16,22,45,19,22,42,17,18,41,15,Lawn Green
"Grid(4, 13)",18,42,18,17,39,16,19,43,19,27,53,28,Bright Green
"Grid(4, 14)",16,38,15,20,42,19,17,39,16,12,34,13,Lawn Green
"Grid(4, 15)",13,27,12,14,28,13,13,27,10,14,28,11,Lawn Green
"Grid(4, 16)",13,30,12,14,31,13,12,29,11,15,32,14,Lawn Green
"Grid(4, 17)",14,31,13,12,29,11,13,30,12,13,27,10,Lawn Green
"Grid(4, 18)",19,37,15,19,38,16,18,37,15,18,35,16,Lawn Green
"Grid(4, 20)",15,32,14,16,35,16,17,36,17,18,37,18,Bright Green
"Grid(4, 21)",17,36,16,15,34,14,16,35,15,18,37,17,Lawn Green
"Grid(4, 22)",17,34,15,17,36,16,19,38,18,18,37,17,Lawn Green
"Grid(4, 23)",18,40,17,19,38,16,16,39,13,17,40,14,Lawn Green
"Grid(4, 24)",16,30,13,15,29,12,17,31,14,21,40,18,Lawn Green
"Grid(4, 25)",15,34,14,15,29,12,16,35,15,11,28,10,Lawn Green
"Grid(4, 26)",12,29,11,13,30,12,14,31,13,11,28,10,Lawn Green
"Grid(4, 27)",16,38,15,15,37,14,18,41,15,17,36,14,Lawn Green
"Grid(4, 28)",21,46,17,22,47,18,20,44,18,20,45,16,Lawn Green
"Grid(4, 29)",29,32,15,43,40,23,42,41,23,43,42,24,Orange
"Grid(4, 30)",10,29,10,11,28,12,16,33,17,17,34,16,Bright Green
"Grid(4, 31)",14,36,13,17,39,16,15,39,15,16,38,15,Lawn Green
"Grid(4, 32)",18,35,16,9,23,10,16,33,14,20,35,16,Lawn Green
"Grid(4, 34)",20,39,17,18,35,16,8,22,7,8,20,6,Lawn Green
"Grid(4, 36)",8,22,7,9,23,8,10,22,8,20,43,17,Lawn Green
"Grid(4, 37)",9,23,8,22,35,18,19,32,15,12,26,9,Lawn Green
"Grid(4, 38)",18,42,16,10,27,9,17,41,15,19,42,16,Lawn Green
"Grid(4, 39)",16,33,14,26,58,21,25,59,22,28,58,24,Lawn Green
"Grid(4, 41)",8,22,7,11,25,10,12,26,11,13,30,12,Lawn Green
"Grid(4, 43)",12,24,10,13,25,11,11,28,10,11,25,10,Lawn Green
"Grid(4, 44)",12,25,15,12,24,14,11,24,14,11,23,13,Bright Green
"Grid(4, 45)",13,27,12,11,28,10,13,27,14,13,30,12,Lawn Green
"Grid(4, 46)",17,28,14,16,26,15,16,27,13,17,27,16,Lawn Green
"Grid(4, 47)",15,29,14,16,28,14,17,29,15,15,27,13,Lawn Green
"Grid(4, 48)",7,19,7,13,25,11,5,17,7,8,20,8,Bright Green
"Grid(4, 49)",17,28,14,15,28,11,14,27,10,16,27,13,Lawn Green
"Grid(5, 0)",19,29,20,13,25,13,20,32,22,11,23,11,Bright Green
"Grid(5, 3)",27,42,19,28,43,20,29,43,20,24,47,21,Lawn Green
"Grid(5, 4)",10,28,12,14,33,14,16,35,16,10,28,14,Bright Green
"Grid(5, 5)",19,31,19,20,32,20,15,27,15,18,30,18,Bright Green
"Grid(5, 6)",16,28,14,17,28,14,18,29,15,16,27,13,Lawn Green
"Grid(5, 7)",26,46,19,27,45,19,24,47,19,26,49,21,Lawn Green
"Grid(5, 9)",22,45,19,31,45,22,28,43,20,24,44,19,Lawn Green
"Grid(5, 10)",25,48,22,24,47,21,23,46,20,25,49,23,Lawn Green
"Grid(5, 11)",23,46,18,25,45,18,27,45,19,26,44,18,Lawn Green
"Grid(5, 12)",21,47,18,24,49,20,23,47,21,22,47,18,Lawn Green
"Grid(5, 13)",28,53,24,25,51,22,25,41,15,25,45,20,Lawn Green
"Grid(5, 14)",18,33,14,21,38,19,23,38,19,19,38,18,Lawn Green
"Grid(5, 15)",26,46,18,27,47,19,28,47,19,26,49,21,Lawn Green
"Grid(5, 16)",33,49,23,25,45,18,74,52,38,20,44,18,Lawn Green
"Grid(5, 17)",21,40,18,16,35,13,20,39,17,17,36,14,Lawn Green
"Grid(5, 18)",20,42,19,21,43,20,19,41,18,18,40,17,Lawn Green
"Grid(5, 19)",19,42,16,19,43,17,18,42,16,18,41,15,Lawn Green
"Grid(5, 20)",18,37,17,17,39,18,13,30,12,16,35,15,Lawn Green
"Grid(5, 21)",17,34,15,18,35,16,19,36,17,20,37,18,Lawn Green
"Grid(5, 22)",17,36,14,19,38,16,21,40,18,18,37,15,Lawn Green
"Grid(5, 23)",25,50,21,23,48,19,24,49,20,27,52,22,Lawn Green
"Grid(5, 24)",17,41,15,16,40,14,18,42,16,23,46,20,Lawn Green
"Grid(5, 25)",25,48,20,23,46,18,16,38,15,24,47,19,Lawn Green
"Grid(5, 26)",137,121,98,142,125,97,132,112,85,134,118,93,Red
"Grid(5, 27)",14,36,13,17,39,16,13,37,13,19,38,16,Lawn Green
"Grid(5, 28)",15,34,12,16,35,13,14,33,11,17,36,16,Lawn Green
"Grid(5, 29)",18,36,14,17,34,16,15,32,14,16,33,15,Lawn Green
"Grid(5, 30)",24,47,18,27,54,21,28,53,23,25,48,22,Lawn Green
"Grid(5, 31)",16,39,13,15,38,12,17,40,14,17,40,12,Lawn Green
"Grid(5, 32)",18,41,15,22,42,17,14,31,12,15,34,14,Lawn Green
"Grid(5, 33)",15,32,13,12,31,11,19,41,18,13,32,12,Lawn Green
"Grid(5, 34)",13,30,12,12,29,11,16,33,15,23,38,19,Lawn Green
"Grid(5, 35)",18,37,15,16,35,13,17,36,14,21,55,20,Lawn Green
"Grid(5, 36)",29,66,23,29,66,25,30,65,25,29,64,24,Lawn Green
"Grid(5, 37)",14,31,13,15,29,12,13,30,12,16,30,13,Lawn Green
"Grid(5, 38)",18,35,16,18,35,17,17,34,16,20,38,16,Lawn Green
"Grid(5, 39)",16,35,15,18,36,14,19,37,15,17,34,15,Lawn Green
"Grid(5, 41)",14,26,12,15,29,14,14,27,10,11,28,10,Lawn Green
"Grid(5, 42)",12,26,9,16,29,12,13,27,10,10,24,7,Lawn Green
"Grid(5, 44)",11,28,10,12,29,11,14,31,15,16,33,15,Lawn Green
"Grid(5, 45)",11,28,10,11,30,11,12,29,11,10,20,9,Lawn Green
"Grid(5, 47)",15,26,12,15,25,16,15,25,14,12,22,11,Lawn Green
"Grid(5, 48)",13,30,12,14,31,12,14,31,15,13,30,11,Lawn Green
"Grid(5, 49)",13,25,13,12,24,12,14,26,14,13,25,15,Bright Green
"Grid(6, 0)",15,22,14,11,21,10,13,23,12,12,22,11,Lawn Green
"Grid(6, 2)",19,38,19,21,40,20,20,39,19,20,37,19,Lawn Green
"Grid(6, 3)",29,43,20,28,46,20,37,49,27,18,35,17,Lawn Green
"Grid(6, 4)",26,44,20,26,41,18,27,45,21,24,42,18,Lawn Green
"Grid(6, 5)",33,48,25,26,44,22,32,47,24,31,51,26,Lawn Green
"Grid(6, 6)",30,48,24,19,43,17,63,51,37,28,48,23,Lawn Green
"Grid(6, 7)",15,34,14,15,34,12,16,35,15,21,40,20,Lawn Green
"Grid(6, 8)",22,48,21,23,47,23,21,47,20,23,49,22,Lawn Green
"Grid(6, 9)",18,35,16,17,34,15,19,36,17,20,37,18,Lawn Green
"Grid(6, 10)",24,47,21,25,48,22,19,38,18,18,35,17,Lawn Green
"Grid(6, 11)",17,36,16,19,36,17,18,35,16,18,37,17,Lawn Green
"Grid(6, 14)",15,29,12,14,28,11,16,30,13,15,29,14,Lawn Green
"Grid(6, 15)",16,30,13,14,31,15,15,29,12,16,30,15,Lawn Green
"Grid(6, 16)",65,56,39,60,52,33,64,57,38,62,55,36,Red
"Grid(6, 17)",29,49,22,23,46,18,26,46,19,27,47,20,Lawn Green
"Grid(6, 19)",25,48,20,14,29,10,13,30,12,59,50,33,Lawn Green
"Grid(6, 20)",56,49,33,62,48,35,61,49,35,64,50,37,Red
"Grid(6, 21)",25,45,18,32,48,22,30,50,23,26,46,19,Lawn Green
"Grid(6, 22)",22,48,19,21,47,18,24,49,20,18,41,15,Lawn Green
"Grid(6, 23)",23,46,18,25,43,17,17,40,12,17,40,14,Lawn Green
"Grid(6, 24)",23,46,18,24,47,19,22,45,17,25,45,18,Lawn Green
"Grid(6, 25)",28,51,23,24,42,16,25,45,18,23,43,16,Lawn Green
"Grid(6, 26)",155,135,110,159,139,114,156,136,111,157,137,112,Red
"Grid(6, 27)",123,108,87,111,96,75,113,98,77,124,109,88,Red
"Grid(6, 28)",186,145,99,88,80,59,94,82,56,184,148,100,Red
"Grid(6, 29)",18,41,15,17,41,15,23,46,20,16,39,13,Lawn Green
"Grid(6, 30)",19,44,15,20,45,16,21,46,17,23,48,19,Lawn Green
"Grid(6, 31)",16,39,13,19,42,16,20,43,17,23,46,18,Lawn Green
"Grid(6, 32)",18,43,14,11,25,8,12,26,9,20,43,17,Lawn Green
"Grid(6, 33)",14,28,11,13,27,10,15,29,12,10,27,8,Lawn Green
"Grid(6, 34)",19,39,14,20,38,16,20,40,15,21,39,17,Lawn Green
"Grid(6, 35)",14,26,12,14,27,10,13,25,11,15,26,12,Lawn Green
"Grid(6, 36)",13,23,12,12,26,11,16,42,17,12,22,11,Lawn Green
"Grid(6, 37)",18,37,17,17,36,16,19,38,18,15,34,14,Lawn Green
"Grid(6, 38)",21,36,17,18,35,16,14,31,12,15,32,13,Lawn Green
"Grid(6, 39)",13,23,12,12,22,11,11,21,10,14,24,13,Lawn Green
"Grid(6, 41)",30,50,25,31,51,26,28,48,23,29,49,24,Lawn Green
"Grid(6, 43)",13,28,9,14,29,10,15,29,12,16,29,11,Lawn Green
"Grid(6, 44)",16,24,11,12,25,8,21,34,17,15,26,12,Lawn Green
"Grid(6, 45)",15,29,12,18,35,17,17,34,16,16,30,13,Lawn Green
"Grid(6, 46)",15,29,14,13,25,11,16,28,16,15,26,12,Lawn Green
"Grid(6, 47)",15,27,15,14,26,14,13,25,13,12,24,12,Bright Green
"Grid(6, 48)",15,26,12,14,26,12,15,26,10,14,26,14,Lawn Green
"Grid(6, 49)",12,24,10,13,25,11,11,24,7,10,23,6,Lawn Green
"Grid(7, 1)",11,21,10,10,20,9,12,22,11,13,23,12,Lawn Green
"Grid(7, 2)",11,28,12,20,38,16,12,29,13,10,27,11,Bright Green
"Grid(7, 3)",16,42,17,13,32,13,13,31,15,10,20,9,Bright Green
"Grid(7, 5)",23,49,22,23,47,23,25,51,26,20,49,21,Bright Green
"Grid(7, 7)",19,36,18,20,37,19,17,34,16,19,38,18,Lawn Green
"Grid(7, 8)",17,36,16,18,37,17,19,38,18,19,36,17,Lawn Green
"Grid(7, 9)",17,34,16,18,35,17,16,33,15,19,36,18,Lawn Green
"Grid(7, 11)",21,36,17,18,35,17,19,36,18,21,36,15,Lawn Green
"Grid(7, 12)",18,35,16,17,34,16,18,35,17,19,36,17,Lawn Green
"Grid(7, 13)",17,34,16,18,35,17,15,32,14,16,33,15,Lawn Green
"Grid(7, 14)",15,26,12,21,34,17,24,39,20,17,30,13,Lawn Green
"Grid(7, 15)",15,29,12,17,31,14,16,30,13,18,32,15,Lawn Green
"Grid(7, 16)",21,36,17,22,37,18,20,34,17,19,36,17,Lawn Green
"Grid(7, 17)",19,37,15,18,37,15,20,35,16,20,35,14,Lawn Green
"Grid(7, 18)",20,35,14,18,33,14,20,35,16,19,34,15,Lawn Green
"Grid(7, 20)",22,45,19,20,43,17,19,42,16,56,49,31,Lawn Green
"Grid(7, 21)",14,29,10,14,31,12,15,34,14,16,29,12,Lawn Green
"Grid(7, 22)",14,27,10,11,30,10,13,26,8,17,28,11,Lawn Green
"Grid(7, 23)",15,26,12,12,24,10,11,23,9,14,25,11,Lawn Green
"Grid(7, 24)",13,25,11,12,29,11,16,33,15,13,26,9,Lawn Green
"Grid(7, 25)",20,37,19,21,38,20,22,36,19,20,34,17,Lawn Green
"Grid(7, 26)",162,135,106,154,128,103,190,161,119,215,183,142,Red
"Grid(7, 27)",131,115,99,134,118,102,128,112,96,136,120,104,Red
"Grid(7, 28)",146,130,107,253,252,188,141,123,101,149,133,110,Red
"Grid(7, 29)",20,43,17,21,44,18,29,47,23,26,46,21,Lawn Green
"Grid(7, 30)",20,44,18,21,45,19,22,48,19,19,42,16,Lawn Green
"Grid(7, 31)",21,45,21,22,46,20,22,44,21,27,50,21,Lawn Green
"Grid(7, 32)",14,28,11,12,29,11,11,28,9,11,28,12,Lawn Green
"Grid(7, 33)",13,27,10,18,41,15,5,17,5,21,39,15,Lawn Green
"Grid(7, 34)",17,39,16,16,31,12,18,37,15,15,30,11,Lawn Green
"Grid(7, 35)",14,37,9,15,38,12,18,38,13,15,38,10,Lawn Green
"Grid(7, 36)",19,48,20,21,47,20,18,47,19,20,49,21,Bright Green
