grid,color1_h,color1_s,color1_v,colour_name,color2_h,color2_s,color2_v,colour_name.1,color3_h,color3_s,color3_v,colour_name.2,color4_h,color4_s,color4_v,colour_name.3,repeated_colour
"Grid(1, 9)",15,32,13,Lawn Green,17,34,16,Lawn Green,18,35,17,Lawn Green,16,33,14,Lawn Green,Lawn Green
"Grid(1, 10)",25,43,21,Lawn Green,24,48,22,Lawn Green,23,47,21,Lawn Green,24,42,20,Lawn Green,Lawn Green
"Grid(1, 11)",14,31,12,Lawn Green,15,32,13,Lawn Green,14,31,13,Lawn Green,18,37,15,Lawn Green,Lawn Green
"Grid(1, 12)",16,33,14,Lawn Green,17,34,15,Lawn Green,15,32,14,Lawn Green,14,31,13,Lawn Green,Lawn Green
"Grid(1, 13)",15,32,13,Lawn Green,16,33,14,Lawn Green,12,29,11,Lawn Green,15,34,14,Lawn Green,Lawn Green
"Grid(1, 14)",23,42,22,Lawn Green,16,35,15,Lawn Green,18,37,17,Lawn Green,15,34,14,Lawn Green,Lawn Green
"Grid(1, 15)",17,36,16,Lawn Green,16,35,15,Lawn Green,23,42,20,Lawn Green,15,32,14,Lawn Green,Lawn Green
"Grid(1, 16)",15,37,14,Lawn Green,16,38,15,Lawn Green,18,40,17,Lawn Green,17,34,15,Lawn Green,Lawn Green
"Grid(1, 17)",16,35,15,Lawn Green,17,36,16,Lawn Green,17,36,14,Lawn Green,14,35,16,Bright Green,Lawn Green
"Grid(1, 18)",16,35,15,Lawn Green,18,37,15,Lawn Green,15,34,14,Lawn Green,18,40,17,Lawn Green,Lawn Green
"Grid(1, 20)",62,48,35,Red,61,47,34,Red,58,46,32,Red,41,42,28,Orange,Red
"Grid(1, 22)",16,35,15,Lawn Green,17,36,16,Lawn Green,15,34,14,Lawn Green,18,37,17,Lawn Green,Lawn Green
"Grid(1, 23)",21,36,17,Lawn Green,22,37,18,Lawn Green,18,35,16,Lawn Green,20,35,16,Lawn Green,Lawn Green
"Grid(1, 25)",46,37,22,Red,53,40,24,Red,40,33,17,Red,47,52,30,Orange,Red
"Grid(1, 27)",17,34,15,Lawn Green,15,34,14,Lawn Green,16,33,14,Lawn Green,16,35,15,Lawn Green,Lawn Green
"Grid(1, 29)",10,22,10,Bright Green,11,23,11,Bright Green,13,25,13,Bright Green,12,24,12,Bright Green,Bright Green
"Grid(1, 31)",15,29,12,Lawn Green,12,29,13,Bright Green,28,51,25,Lawn Green,14,33,13,Lawn Green,Lawn Green
"Grid(1, 32)",12,29,11,Lawn Green,13,30,12,Lawn Green,11,28,10,Lawn Green,14,31,13,Lawn Green,Lawn Green
"Grid(1, 33)",13,27,10,Lawn Green,14,28,11,Lawn Green,11,25,8,Lawn Green,12,26,9,Lawn Green,Lawn Green
"Grid(1, 34)",13,32,12,Lawn Green,14,30,17,Bright Green,11,28,10,Lawn Green,12,29,11,Lawn Green,Lawn Green
"Grid(1, 35)",14,28,13,Lawn Green,13,27,12,Lawn Green,12,26,11,Lawn Green,14,26,12,Lawn Green,Lawn Green
"Grid(1, 36)",12,33,14,Bright Green,13,34,15,Bright Green,17,36,17,Bright Green,14,35,16,Bright Green,Bright Green
"Grid(1, 37)",12,26,11,Lawn Green,12,26,13,Bright Green,14,28,15,Bright Green,11,25,12,Bright Green,Bright Green
"Grid(1, 38)",11,28,10,Lawn Green,24,43,21,Lawn Green,14,28,11,Lawn Green,13,27,12,Lawn Green,Lawn Green
"Grid(1, 39)",22,44,21,Lawn Green,12,29,11,Lawn Green,21,45,21,Bright Green,15,29,12,Lawn Green,Lawn Green
"Grid(1, 40)",21,39,15,Lawn Green,24,42,18,Lawn Green,18,36,14,Lawn Green,19,37,13,Lawn Green,Lawn Green
"Grid(1, 41)",19,38,16,Lawn Green,14,31,13,Lawn Green,17,34,15,Lawn Green,16,33,14,Lawn Green,Lawn Green
"Grid(1, 42)",13,25,13,Bright Green,12,24,12,Bright Green,14,26,14,Bright Green,16,30,15,Lawn Green,Bright Green
"Grid(1, 43)",13,30,12,Lawn Green,14,31,13,Lawn Green,19,38,19,Bright Green,12,25,8,Lawn Green,Lawn Green
"Grid(1, 44)",11,28,10,Lawn Green,10,29,10,Bright Green,12,29,11,Lawn Green,10,27,8,Lawn Green,Lawn Green
"Grid(1, 45)",8,20,8,Bright Green,14,32,16,Bright Green,15,33,17,Bright Green,8,22,9,Bright Green,Bright Green
"Grid(1, 47)",12,26,13,Bright Green,13,23,15,Bright Green,12,22,13,Bright Green,15,26,12,Lawn Green,Bright Green
"Grid(1, 48)",13,27,12,Lawn Green,14,31,13,Lawn Green,13,32,12,Lawn Green,15,25,16,Bright Green,Lawn Green
"Grid(1, 49)",13,28,9,Lawn Green,16,31,12,Lawn Green,17,32,13,Lawn Green,12,26,11,Lawn Green,Lawn Green
"Grid(2, 0)",16,32,19,Bright Green,16,30,17,Bright Green,15,31,18,Bright Green,15,29,16,Bright Green,Bright Green
"Grid(2, 1)",15,29,16,Bright Green,16,30,17,Bright Green,17,31,18,Bright Green,14,28,15,Bright Green,Bright Green
"Grid(2, 3)",19,48,18,Lawn Green,20,49,19,Lawn Green,21,45,19,Lawn Green,21,43,20,Lawn Green,Lawn Green
"Grid(2, 4)",17,36,16,Lawn Green,18,37,17,Lawn Green,16,35,15,Lawn Green,19,38,18,Lawn Green,Lawn Green
"Grid(2, 5)",18,40,17,Lawn Green,16,38,15,Lawn Green,17,39,16,Lawn Green,16,35,15,Lawn Green,Lawn Green
"Grid(2, 6)",13,27,12,Lawn Green,14,28,13,Lawn Green,12,26,11,Lawn Green,15,29,14,Lawn Green,Lawn Green
"Grid(2, 7)",14,28,13,Lawn Green,13,27,12,Lawn Green,15,29,14,Lawn Green,13,26,16,Bright Green,Lawn Green
"Grid(2, 8)",15,29,14,Lawn Green,14,28,13,Lawn Green,13,27,12,Lawn Green,16,30,15,Lawn Green,Lawn Green
"Grid(2, 9)",14,28,13,Lawn Green,13,30,12,Lawn Green,15,29,14,Lawn Green,14,31,13,Lawn Green,Lawn Green
"Grid(2, 10)",14,31,13,Lawn Green,13,30,12,Lawn Green,17,36,16,Lawn Green,19,34,15,Lawn Green,Lawn Green
"Grid(2, 11)",17,36,16,Lawn Green,17,39,18,Bright Green,16,35,15,Lawn Green,18,37,17,Lawn Green,Lawn Green
"Grid(2, 13)",14,31,13,Lawn Green,12,29,11,Lawn Green,13,30,12,Lawn Green,15,32,14,Lawn Green,Lawn Green
"Grid(2, 14)",15,32,14,Lawn Green,14,31,13,Lawn Green,16,33,15,Lawn Green,13,32,13,Bright Green,Lawn Green
"Grid(2, 15)",20,35,16,Lawn Green,18,37,15,Lawn Green,19,36,17,Lawn Green,21,36,17,Lawn Green,Lawn Green
"Grid(2, 16)",19,38,18,Lawn Green,15,34,14,Lawn Green,16,35,15,Lawn Green,18,37,17,Lawn Green,Lawn Green
"Grid(2, 17)",19,36,17,Lawn Green,20,37,18,Lawn Green,18,35,16,Lawn Green,13,30,12,Lawn Green,Lawn Green
"Grid(2, 18)",15,39,15,Bright Green,7,24,8,Bright Green,9,26,10,Bright Green,8,25,9,Bright Green,Bright Green
"Grid(2, 19)",14,31,13,Lawn Green,13,30,12,Lawn Green,13,32,13,Bright Green,15,34,14,Lawn Green,Lawn Green
"Grid(2, 20)",15,29,12,Lawn Green,16,29,12,Lawn Green,13,30,12,Lawn Green,14,28,11,Lawn Green,Lawn Green
"Grid(2, 22)",38,39,23,Orange,35,38,21,Orange,37,38,22,Orange,36,39,22,Orange,Orange
"Grid(2, 23)",19,34,13,Lawn Green,27,50,22,Lawn Green,26,46,19,Lawn Green,23,35,15,Lawn Green,Lawn Green
"Grid(2, 24)",19,41,18,Lawn Green,19,37,15,Lawn Green,18,41,15,Lawn Green,19,38,16,Lawn Green,Lawn Green
"Grid(2, 26)",21,35,12,Lawn Green,22,36,13,Lawn Green,22,37,14,Lawn Green,17,30,13,Lawn Green,Lawn Green
"Grid(2, 27)",19,34,15,Lawn Green,17,34,15,Lawn Green,18,35,16,Lawn Green,18,33,14,Lawn Green,Lawn Green
"Grid(2, 28)",12,26,13,Bright Green,14,28,15,Bright Green,13,27,14,Bright Green,10,26,13,Bright Green,Bright Green
"Grid(2, 30)",9,28,8,Lawn Green,16,30,13,Lawn Green,12,29,10,Lawn Green,10,29,9,Lawn Green,Lawn Green
"Grid(2, 31)",20,46,19,Lawn Green,16,35,15,Lawn Green,21,47,20,Lawn Green,22,48,21,Lawn Green,Lawn Green
"Grid(2, 33)",19,41,18,Lawn Green,21,43,20,Lawn Green,19,38,19,Bright Green,20,42,19,Lawn Green,Lawn Green
"Grid(2, 34)",24,47,21,Lawn Green,26,51,22,Lawn Green,17,35,13,Lawn Green,25,51,22,Lawn Green,Lawn Green
"Grid(2, 37)",14,33,14,Bright Green,13,32,13,Bright Green,7,25,9,Bright Green,6,24,8,Bright Green,Bright Green
"Grid(2, 38)",11,25,12,Bright Green,11,25,10,Lawn Green,12,29,11,Lawn Green,11,28,10,Lawn Green,Lawn Green
"Grid(2, 40)",11,23,9,Lawn Green,12,24,10,Lawn Green,10,24,7,Lawn Green,14,28,11,Lawn Green,Lawn Green
"Grid(2, 41)",18,37,15,Lawn Green,17,36,14,Lawn Green,15,30,11,Lawn Green,20,43,17,Lawn Green,Lawn Green
"Grid(2, 42)",17,34,16,Lawn Green,7,19,7,Bright Green,8,18,7,Lawn Green,7,17,6,Lawn Green,Lawn Green
"Grid(2, 43)",12,26,13,Bright Green,9,21,9,Bright Green,11,23,11,Bright Green,12,22,11,Lawn Green,Bright Green
"Grid(2, 45)",14,31,12,Lawn Green,12,26,9,Lawn Green,18,37,18,Bright Green,14,28,11,Lawn Green,Lawn Green
"Grid(2, 47)",8,21,11,Bright Green,9,23,10,Bright Green,6,19,9,Bright Green,8,22,9,Bright Green,Bright Green
"Grid(2, 48)",22,45,19,Lawn Green,27,50,24,Lawn Green,25,48,22,Lawn Green,28,53,24,Lawn Green,Lawn Green
"Grid(2, 49)",13,30,11,Lawn Green,12,29,10,Lawn Green,13,30,12,Lawn Green,12,29,11,Lawn Green,Lawn Green
"Grid(3, 0)",14,31,13,Lawn Green,13,30,12,Lawn Green,17,34,16,Lawn Green,12,24,12,Bright Green,Lawn Green
"Grid(3, 1)",20,42,21,Bright Green,21,43,22,Bright Green,16,34,18,Bright Green,16,35,16,Bright Green,Bright Green
"Grid(3, 2)",19,43,19,Bright Green,18,42,18,Bright Green,19,45,20,Bright Green,20,46,21,Bright Green,Bright Green
"Grid(3, 3)",22,46,20,Lawn Green,23,47,21,Lawn Green,24,48,22,Lawn Green,21,45,19,Lawn Green,Lawn Green
"Grid(3, 4)",15,37,16,Bright Green,15,27,15,Bright Green,13,27,14,Bright Green,13,25,13,Bright Green,Bright Green
"Grid(3, 5)",16,40,18,Bright Green,15,40,18,Bright Green,16,38,17,Bright Green,15,39,17,Bright Green,Bright Green
"Grid(3, 6)",16,38,17,Bright Green,17,36,16,Lawn Green,22,44,21,Lawn Green,23,45,22,Lawn Green,Lawn Green
"Grid(3, 7)",18,40,17,Lawn Green,19,41,18,Lawn Green,20,42,19,Lawn Green,17,39,16,Lawn Green,Lawn Green
"Grid(3, 8)",13,28,9,Lawn Green,16,31,12,Lawn Green,14,29,10,Lawn Green,15,30,11,Lawn Green,Lawn Green
"Grid(3, 9)",13,30,12,Lawn Green,15,32,14,Lawn Green,14,31,13,Lawn Green,18,35,16,Lawn Green,Lawn Green
"Grid(3, 10)",15,29,14,Lawn Green,9,23,8,Lawn Green,10,27,11,Bright Green,13,30,12,Lawn Green,Lawn Green
"Grid(3, 11)",21,45,19,Lawn Green,22,45,19,Lawn Green,22,46,20,Lawn Green,20,44,18,Lawn Green,Lawn Green
"Grid(3, 12)",19,41,18,Lawn Green,18,40,17,Lawn Green,19,42,16,Lawn Green,20,44,18,Lawn Green,Lawn Green
"Grid(3, 13)",22,45,19,Lawn Green,21,44,18,Lawn Green,20,43,17,Lawn Green,18,41,15,Lawn Green,Lawn Green
"Grid(3, 14)",21,47,20,Lawn Green,20,46,19,Lawn Green,21,44,18,Lawn Green,22,48,21,Lawn Green,Lawn Green
"Grid(3, 15)",17,34,15,Lawn Green,16,33,14,Lawn Green,18,35,16,Lawn Green,11,28,10,Lawn Green,Lawn Green
"Grid(3, 16)",18,35,16,Lawn Green,17,34,15,Lawn Green,19,36,17,Lawn Green,20,37,18,Lawn Green,Lawn Green
"Grid(3, 17)",21,36,17,Lawn Green,22,37,18,Lawn Green,19,34,15,Lawn Green,18,33,14,Lawn Green,Lawn Green
"Grid(3, 18)",17,34,16,Lawn Green,16,35,16,Bright Green,14,31,13,Lawn Green,15,32,14,Lawn Green,Lawn Green
"Grid(3, 19)",20,35,16,Lawn Green,19,34,15,Lawn Green,21,36,17,Lawn Green,17,32,13,Lawn Green,Lawn Green
"Grid(3, 20)",13,30,12,Lawn Green,12,29,11,Lawn Green,16,33,14,Lawn Green,17,34,15,Lawn Green,Lawn Green
"Grid(3, 21)",18,35,16,Lawn Green,16,33,14,Lawn Green,17,34,15,Lawn Green,19,36,17,Lawn Green,Lawn Green
"Grid(3, 22)",26,35,16,Inchworm,26,33,15,Inchworm,25,34,15,Inchworm,56,54,33,Orange,Inchworm
"Grid(3, 23)",28,48,21,Lawn Green,25,48,20,Lawn Green,30,48,22,Lawn Green,26,51,21,Lawn Green,Lawn Green
"Grid(3, 24)",14,33,11,Lawn Green,15,33,11,Lawn Green,16,35,15,Lawn Green,17,36,16,Lawn Green,Lawn Green
"Grid(3, 25)",19,33,16,Lawn Green,14,31,13,Lawn Green,17,35,13,Lawn Green,18,36,12,Lawn Green,Lawn Green
"Grid(3, 26)",15,29,12,Lawn Green,16,30,13,Lawn Green,13,27,10,Lawn Green,19,34,13,Lawn Green,Lawn Green
"Grid(3, 27)",18,41,15,Lawn Green,16,35,13,Lawn Green,18,36,14,Lawn Green,20,35,14,Lawn Green,Lawn Green
"Grid(3, 28)",37,27,17,Red,36,27,18,Red,37,29,18,Red,44,36,25,Red,Red
"Grid(3, 29)",14,27,10,Lawn Green,14,28,11,Lawn Green,19,41,18,Lawn Green,44,36,25,Red,Lawn Green
"Grid(3, 30)",11,30,10,Lawn Green,19,38,18,Lawn Green,16,35,15,Lawn Green,14,33,13,Lawn Green,Lawn Green
"Grid(3, 31)",24,48,22,Lawn Green,23,47,21,Lawn Green,22,48,21,Lawn Green,21,47,20,Lawn Green,Lawn Green
"Grid(3, 32)",13,30,12,Lawn Green,11,25,8,Lawn Green,12,29,11,Lawn Green,13,27,10,Lawn Green,Lawn Green
"Grid(3, 33)",20,39,19,Lawn Green,17,36,16,Lawn Green,19,38,18,Lawn Green,14,33,13,Lawn Green,Lawn Green
"Grid(3, 34)",13,32,12,Lawn Green,21,43,20,Lawn Green,15,34,14,Lawn Green,12,31,11,Lawn Green,Lawn Green
"Grid(3, 35)",24,47,21,Lawn Green,29,52,24,Lawn Green,28,51,23,Lawn Green,25,48,22,Lawn Green,Lawn Green
"Grid(3, 36)",9,28,9,Bright Green,6,17,11,Celadon,7,26,7,Bright Green,10,29,10,Bright Green,Bright Green
"Grid(3, 37)",7,23,10,Bright Green,11,27,14,Bright Green,13,29,16,Bright Green,10,26,13,Bright Green,Bright Green
"Grid(3, 38)",9,23,10,Bright Green,13,27,14,Bright Green,11,25,12,Bright Green,12,26,11,Lawn Green,Bright Green
"Grid(3, 39)",13,27,12,Lawn Green,14,28,13,Lawn Green,13,25,13,Bright Green,15,29,12,Lawn Green,Lawn Green
"Grid(3, 40)",12,29,11,Lawn Green,11,28,10,Lawn Green,10,27,9,Lawn Green,13,30,12,Lawn Green,Lawn Green
"Grid(3, 41)",11,29,13,Bright Green,11,28,12,Bright Green,10,28,12,Bright Green,10,29,10,Bright Green,Bright Green
"Grid(3, 42)",5,22,6,Bright Green,10,27,11,Bright Green,4,14,3,Lawn Green,4,18,5,Bright Green,Bright Green
"Grid(3, 43)",16,30,15,Lawn Green,15,29,14,Lawn Green,17,31,16,Lawn Green,14,28,13,Lawn Green,Lawn Green
"Grid(3, 44)",24,48,22,Lawn Green,12,26,11,Lawn Green,17,31,14,Lawn Green,15,29,12,Lawn Green,Lawn Green
"Grid(3, 45)",37,55,29,Lawn Green,30,48,24,Lawn Green,34,52,26,Lawn Green,45,60,37,Lawn Green,Lawn Green
"Grid(3, 46)",13,25,11,Lawn Green,11,22,8,Lawn Green,12,23,9,Lawn Green,12,24,10,Lawn Green,Lawn Green
"Grid(3, 47)",14,28,11,Lawn Green,10,20,9,Lawn Green,14,24,13,Lawn Green,11,18,10,Lawn Green,Lawn Green
"Grid(3, 48)",10,24,11,Bright Green,11,25,12,Bright Green,9,23,10,Bright Green,12,26,13,Bright Green,Bright Green
"Grid(3, 49)",24,42,20,Lawn Green,23,41,19,Lawn Green,13,30,12,Lawn Green,25,43,21,Lawn Green,Lawn Green
"Grid(4, 0)",16,33,15,Lawn Green,13,30,12,Lawn Green,17,34,16,Lawn Green,20,44,18,Lawn Green,Lawn Green
"Grid(4, 2)",15,27,15,Bright Green,13,27,14,Bright Green,15,32,14,Lawn Green,14,31,15,Bright Green,Bright Green
"Grid(4, 4)",16,35,15,Lawn Green,17,36,16,Lawn Green,18,37,15,Lawn Green,20,39,20,Bright Green,Lawn Green
"Grid(4, 5)",18,29,15,Lawn Green,17,28,14,Lawn Green,12,26,13,Bright Green,20,34,17,Lawn Green,Lawn Green
"Grid(4, 7)",20,42,19,Lawn Green,23,46,18,Lawn Green,19,41,18,Lawn Green,21,43,20,Lawn Green,Lawn Green
"Grid(4, 8)",13,32,12,Lawn Green,18,33,14,Lawn Green,14,31,13,Lawn Green,16,29,11,Lawn Green,Lawn Green
"Grid(4, 9)",19,36,18,Lawn Green,20,39,17,Lawn Green,14,33,14,Bright Green,18,37,17,Lawn Green,Lawn Green
"Grid(4, 10)",16,38,17,Bright Green,18,37,17,Lawn Green,16,30,15,Lawn Green,18,32,17,Lawn Green,Lawn Green
"Grid(4, 11)",64,52,36,Red,69,53,37,Red,63,51,35,Red,70,54,38,Red,Red
"Grid(4, 12)",19,42,16,Lawn Green,22,45,19,Lawn Green,22,42,17,Lawn Green,18,41,15,Lawn Green,Lawn Green
"Grid(4, 13)",18,42,18,Bright Green,17,39,16,Lawn Green,19,43,19,Bright Green,27,53,28,Bright Green,Bright Green
"Grid(4, 14)",16,38,15,Lawn Green,20,42,19,Lawn Green,17,39,16,Lawn Green,12,34,13,Bright Green,Lawn Green
"Grid(4, 15)",13,27,12,Lawn Green,14,28,13,Lawn Green,13,27,10,Lawn Green,14,28,11,Lawn Green,Lawn Green
"Grid(4, 16)",13,30,12,Lawn Green,14,31,13,Lawn Green,12,29,11,Lawn Green,15,32,14,Lawn Green,Lawn Green
"Grid(4, 17)",14,31,13,Lawn Green,12,29,11,Lawn Green,13,30,12,Lawn Green,13,27,10,Lawn Green,Lawn Green
"Grid(4, 18)",19,37,15,Lawn Green,19,38,16,Lawn Green,18,37,15,Lawn Green,18,35,16,Lawn Green,Lawn Green
"Grid(4, 20)",15,32,14,Lawn Green,16,35,16,Bright Green,17,36,17,Bright Green,18,37,18,Bright Green,Bright Green
"Grid(4, 21)",17,36,16,Lawn Green,15,34,14,Lawn Green,16,35,15,Lawn Green,18,37,17,Lawn Green,Lawn Green
"Grid(4, 22)",17,34,15,Lawn Green,17,36,16,Lawn Green,19,38,18,Lawn Green,18,37,17,Lawn Green,Lawn Green
"Grid(4, 23)",18,40,17,Lawn Green,19,38,16,Lawn Green,16,39,13,Lawn Green,17,40,14,Lawn Green,Lawn Green
"Grid(4, 24)",16,30,13,Lawn Green,15,29,12,Lawn Green,17,31,14,Lawn Green,21,40,18,Lawn Green,Lawn Green
"Grid(4, 25)",15,34,14,Lawn Green,15,29,12,Lawn Green,16,35,15,Lawn Green,11,28,10,Lawn Green,Lawn Green
"Grid(4, 26)",12,29,11,Lawn Green,13,30,12,Lawn Green,14,31,13,Lawn Green,11,28,10,Lawn Green,Lawn Green
"Grid(4, 27)",16,38,15,Lawn Green,15,37,14,Lawn Green,18,41,15,Lawn Green,17,36,14,Lawn Green,Lawn Green
"Grid(4, 28)",21,46,17,Lawn Green,22,47,18,Lawn Green,20,44,18,Lawn Green,20,45,16,Lawn Green,Lawn Green
"Grid(4, 29)",29,32,15,Orange,43,40,23,Orange,42,41,23,Orange,43,42,24,Orange,Orange
"Grid(4, 30)",10,29,10,Bright Green,11,28,12,Bright Green,16,33,17,Bright Green,17,34,16,Lawn Green,Bright Green
"Grid(4, 31)",14,36,13,Lawn Green,17,39,16,Lawn Green,15,39,15,Bright Green,16,38,15,Lawn Green,Lawn Green
"Grid(4, 32)",18,35,16,Lawn Green,9,23,10,Bright Green,16,33,14,Lawn Green,20,35,16,Lawn Green,Lawn Green
"Grid(4, 34)",20,39,17,Lawn Green,18,35,16,Lawn Green,8,22,7,Lawn Green,8,20,6,Lawn Green,Lawn Green
"Grid(4, 36)",8,22,7,Lawn Green,9,23,8,Lawn Green,10,22,8,Lawn Green,20,43,17,Lawn Green,Lawn Green
"Grid(4, 37)",9,23,8,Lawn Green,22,35,18,Lawn Green,19,32,15,Lawn Green,12,26,9,Lawn Green,Lawn Green
